,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
81,Undecided,"Chris Brown",1057279,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
82,Reggaeton,"J Balvin",1052166,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
83,"Body (feat. brando)","Loud Luxury",1016978,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
84,"Let You Love Me","Rita Ora",1008054,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
85,"Say My Name","David Guetta",999084,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
86,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",998050,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
87,"Shape of You","Ed Sheeran",996749,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
88,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",990147,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
89,Splashin,"Rich The Kid",979308,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
90,"Another One Bites The Dust - Remastered 2011",Queen,975819,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
91,"Psycho (feat. Ty Dolla $ign)","Post Malone",964506,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
92,"Armed And Dangerous","Juice WRLD",963440,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
93,"One Kiss (with Dua Lipa)","Calvin Harris",960560,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
94,Believer,"Imagine Dragons",959149,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
95,"I Like Me Better",Lauv,952708,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
96,"Fire On Fire - From ""Watership Down""","Sam Smith",951356,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
97,"whoa (mind in awe)",XXXTENTACION,942638,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
98,idontwannabeyouanymore,"Billie Eilish",936488,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
99,"In My Feelings",Drake,935892,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
100,Perfect,"Ed Sheeran",934684,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
101,Sauce!,XXXTENTACION,934200,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca
102,"No Stylist","French Montana",932944,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
103,"Kiss and Make Up","Dua Lipa",931867,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
104,Thotiana,Blueface,930703,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
105,"Don't Stop Me Now - Remastered",Queen,922035,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
106,"KIKA (feat. Tory Lanez)",6ix9ine,919714,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
107,Nonstop,Drake,919233,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
108,breathin,"Ariana Grande",916104,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
109,"Space Cadet (feat. Gunna)","Metro Boomin",915530,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
110,"MALA (feat. Anuel Aa)",6ix9ine,911759,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
111,YOSEMITE,"Travis Scott",892128,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
112,"Crushed Up",Future,889882,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41
113,Créeme,"Karol G",889612,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
114,"Always Remember Us This Way","Lady Gaga",888880,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
115,IDGAF,"Dua Lipa",884841,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
116,"Best Part (feat. Daniel Caesar)",H.E.R.,875198,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
117,"Too Good At Goodbyes","Sam Smith",874778,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
118,"Cuando Te Besé","Becky G",871271,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
119,"Solo (feat. Demi Lovato)","Clean Bandit",858813,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
120,"BEBE (feat. Anuel Aa)",6ix9ine,857036,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
121,Prinzessa,"Capital Bra",855666,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
122,"This Feeling","The Chainsmokers",854924,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
123,"Lie To Me (feat. Julia Michaels)","5 Seconds of Summer",850217,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3
124,changes,XXXTENTACION,847722,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
125,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",847298,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
126,Thunder,"Imagine Dragons",846717,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
127,"Say You Won't Let Go","James Arthur",837851,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
128,"Happy Now",Kygo,835445,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
129,"God is a woman","Ariana Grande",832407,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
130,"Falling Down - Bonus Track","Lil Peep",820926,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
131,"I Fall Apart","Post Malone",820369,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
132,"The Middle",Zedd,813228,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
133,"Ya No Tiene Novio","Sebastian Yatra",807747,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
134,Havana,"Camila Cabello",804614,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
135,"Under Pressure - Remastered",Queen,803794,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
136,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,795932,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
