track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
Can't Bring Me Down,Can't Bring Me Down,Quintino,168000,False,False,https://api.spotify.com/v1/tracks/16MCjtjOSAnWAAAmQWHP9u,16MCjtjOSAnWAAAmQWHP9u,False,Can't Bring Me Down,0,https://p.scdn.co/mp3-preview/a0266b8c612a03d10a5ddca40021a39ce556b644?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:16MCjtjOSAnWAAAmQWHP9u,0.0116,https://api.spotify.com/v1/audio-analysis/16MCjtjOSAnWAAAmQWHP9u,0.696,0.793,0.000783,2,0.0626,-4.504,0,0.0402,110.061,4,https://api.spotify.com/v1/tracks/16MCjtjOSAnWAAAmQWHP9u,0.374
Go Ahead,Go Ahead,"Mahalo, MŌZ",189753,False,False,https://api.spotify.com/v1/tracks/5OyJdcA2OJlZ5tdUuyFYvK,5OyJdcA2OJlZ5tdUuyFYvK,False,Go Ahead,0,,True,1,track,spotify:track:5OyJdcA2OJlZ5tdUuyFYvK,0.013,https://api.spotify.com/v1/audio-analysis/5OyJdcA2OJlZ5tdUuyFYvK,0.717,0.896,0.00252,7,0.167,-4.068,0,0.0347,120.034,4,https://api.spotify.com/v1/tracks/5OyJdcA2OJlZ5tdUuyFYvK,0.731
Love Is Here To Stay - Recorded At Spotify Studios NYC,Spotify Singles,"Tony Bennett, Diana Krall",162360,False,False,https://api.spotify.com/v1/tracks/4ehAqz41dlWdLbBBIubIla,4ehAqz41dlWdLbBBIubIla,False,Love Is Here To Stay - Recorded At Spotify Studios NYC,22,,True,1,track,spotify:track:4ehAqz41dlWdLbBBIubIla,0.794,https://api.spotify.com/v1/audio-analysis/4ehAqz41dlWdLbBBIubIla,0.531,0.266,0.0,7,0.361,-12.428,0,0.0309,99.928,4,https://api.spotify.com/v1/tracks/4ehAqz41dlWdLbBBIubIla,0.372
"Living Room, NY","Living Room, NY - Single",Laura Stevenson,202773,False,False,https://api.spotify.com/v1/tracks/2w0IW9Jx02dbCa7rePAPOc,2w0IW9Jx02dbCa7rePAPOc,False,"Living Room, NY",26,https://p.scdn.co/mp3-preview/1879020f43286501473f897e9c208ef43e340e3b?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:2w0IW9Jx02dbCa7rePAPOc,0.726,https://api.spotify.com/v1/audio-analysis/2w0IW9Jx02dbCa7rePAPOc,0.259,0.33,0.0,5,0.126,-7.251,1,0.0317,99.284,4,https://api.spotify.com/v1/tracks/2w0IW9Jx02dbCa7rePAPOc,0.151
Distorted Truth,Distorted Truth,Above & Beyond,253125,False,False,https://api.spotify.com/v1/tracks/6B6IYXIg9B1Az07zNDwuiv,6B6IYXIg9B1Az07zNDwuiv,False,Distorted Truth,0,https://p.scdn.co/mp3-preview/371f9f800819b1f64d2d80f9a8a1cfa9ccd27aca?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:6B6IYXIg9B1Az07zNDwuiv,0.00661,https://api.spotify.com/v1/audio-analysis/6B6IYXIg9B1Az07zNDwuiv,0.507,0.941,0.95,11,0.878,-5.749,0,0.0328,128.003,4,https://api.spotify.com/v1/tracks/6B6IYXIg9B1Az07zNDwuiv,0.181
Chitown Boogie,Chitown Boogie,"James Gardin, TheyCallMeHeat",194160,False,False,https://api.spotify.com/v1/tracks/3lnzqymu5OUQ8gmcIBPmoB,3lnzqymu5OUQ8gmcIBPmoB,False,Chitown Boogie,0,https://p.scdn.co/mp3-preview/71a5693fe592f727a0b8dcbae03db82d46fc49b2?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:3lnzqymu5OUQ8gmcIBPmoB,0.119,https://api.spotify.com/v1/audio-analysis/3lnzqymu5OUQ8gmcIBPmoB,0.703,0.44,0.0,6,0.109,-13.276,0,0.367,89.001,4,https://api.spotify.com/v1/tracks/3lnzqymu5OUQ8gmcIBPmoB,0.565
We Talk all the Time,We Talk all the Time,The Japanese House,195314,False,True,https://api.spotify.com/v1/tracks/6YI6VkKh5sN3r0Zk32evBU,6YI6VkKh5sN3r0Zk32evBU,False,We Talk all the Time,38,https://p.scdn.co/mp3-preview/ecaa62c4bf9471dabf9ab0c17f327b873cfc97d0?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:6YI6VkKh5sN3r0Zk32evBU,0.11,https://api.spotify.com/v1/audio-analysis/6YI6VkKh5sN3r0Zk32evBU,0.685,0.623,0.00121,11,0.148,-7.124,1,0.0509,89.999,4,https://api.spotify.com/v1/tracks/6YI6VkKh5sN3r0Zk32evBU,0.446
Plus,Plus,Peach Tree Rascals,272718,False,True,https://api.spotify.com/v1/tracks/36ynI67Vq1Bz52vEIQMWyy,36ynI67Vq1Bz52vEIQMWyy,False,Plus,0,https://p.scdn.co/mp3-preview/a31c3a6af2e9953a471e3325833bc56836c98832?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:36ynI67Vq1Bz52vEIQMWyy,0.879,https://api.spotify.com/v1/audio-analysis/36ynI67Vq1Bz52vEIQMWyy,0.694,0.364,1.82e-06,1,0.0918,-7.978,1,0.121,88.992,4,https://api.spotify.com/v1/tracks/36ynI67Vq1Bz52vEIQMWyy,0.565
Road,Road,Mark Diamond,219120,False,False,https://api.spotify.com/v1/tracks/6zkDpDp8Mg1BxmwqePl8K4,6zkDpDp8Mg1BxmwqePl8K4,False,Road,0,,True,1,track,spotify:track:6zkDpDp8Mg1BxmwqePl8K4,0.253,https://api.spotify.com/v1/audio-analysis/6zkDpDp8Mg1BxmwqePl8K4,0.644,0.654,7.72e-05,11,0.0992,-6.083,1,0.0774,71.453,4,https://api.spotify.com/v1/tracks/6zkDpDp8Mg1BxmwqePl8K4,0.666
Make A Move,Make A Move,EMMA WAHLIN,189146,False,False,https://api.spotify.com/v1/tracks/4D9QMZ3n8OupOPdxU0MMBS,4D9QMZ3n8OupOPdxU0MMBS,False,Make A Move,30,,True,1,track,spotify:track:4D9QMZ3n8OupOPdxU0MMBS,0.0133,https://api.spotify.com/v1/audio-analysis/4D9QMZ3n8OupOPdxU0MMBS,0.822,0.591,0.147,9,0.114,-6.615,0,0.0515,124.015,4,https://api.spotify.com/v1/tracks/4D9QMZ3n8OupOPdxU0MMBS,0.384
SCARS (feat. Cub Rayan),SCARS (feat. Cub Rayan),"Sick Individuals, Cub Rayan",174062,False,False,https://api.spotify.com/v1/tracks/4iI23lv1PWM4FzL5bQ5oUh,4iI23lv1PWM4FzL5bQ5oUh,False,SCARS (feat. Cub Rayan),0,https://p.scdn.co/mp3-preview/7727d40e61057eb9cd0cd22a80eaeaa5d4c0119c?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:4iI23lv1PWM4FzL5bQ5oUh,0.156,https://api.spotify.com/v1/audio-analysis/4iI23lv1PWM4FzL5bQ5oUh,0.468,0.718,0.0,7,0.132,-4.939,1,0.0601,160.101,4,https://api.spotify.com/v1/tracks/4iI23lv1PWM4FzL5bQ5oUh,0.208
Like I Remember You,Like I Remember You,Vera Blue,187741,False,False,https://api.spotify.com/v1/tracks/6Ok1iGWO9wd5XFD3mA5lEv,6Ok1iGWO9wd5XFD3mA5lEv,False,Like I Remember You,0,,True,1,track,spotify:track:6Ok1iGWO9wd5XFD3mA5lEv,0.65,https://api.spotify.com/v1/audio-analysis/6Ok1iGWO9wd5XFD3mA5lEv,0.415,0.334,0.00088,7,0.131,-9.412,1,0.045,199.895,4,https://api.spotify.com/v1/tracks/6Ok1iGWO9wd5XFD3mA5lEv,0.359
TV,TV,Elohim,186600,False,True,https://api.spotify.com/v1/tracks/7sZxEtxIahkGmPihwVYmLQ,7sZxEtxIahkGmPihwVYmLQ,False,TV,0,https://p.scdn.co/mp3-preview/b8ea39a031922afd99f5f1ff483a947c9120ad30?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:7sZxEtxIahkGmPihwVYmLQ,0.429,https://api.spotify.com/v1/audio-analysis/7sZxEtxIahkGmPihwVYmLQ,0.754,0.503,0.0,0,0.313,-5.973,1,0.187,100.152,4,https://api.spotify.com/v1/tracks/7sZxEtxIahkGmPihwVYmLQ,0.527
The Other Side,The Other Side,Conan Gray,172933,False,False,https://api.spotify.com/v1/tracks/2mAy8zQhZJICLFUEVGQzbE,2mAy8zQhZJICLFUEVGQzbE,False,The Other Side,0,,True,1,track,spotify:track:2mAy8zQhZJICLFUEVGQzbE,0.569,https://api.spotify.com/v1/audio-analysis/2mAy8zQhZJICLFUEVGQzbE,0.595,0.493,3.01e-05,5,0.221,-10.035,1,0.0418,107.931,4,https://api.spotify.com/v1/tracks/2mAy8zQhZJICLFUEVGQzbE,0.266
Good Vibes,Good Vibes,Chris Janson,165586,False,False,https://api.spotify.com/v1/tracks/49oBFP6ZHPtd6t33LFTD3E,49oBFP6ZHPtd6t33LFTD3E,False,Good Vibes,0,https://p.scdn.co/mp3-preview/47cdf2ffb8a08b323e40d690edf2dfad5d125c6d?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:49oBFP6ZHPtd6t33LFTD3E,0.022,https://api.spotify.com/v1/audio-analysis/49oBFP6ZHPtd6t33LFTD3E,0.582,0.846,0.0,0,0.133,-2.771,1,0.0451,92.004,4,https://api.spotify.com/v1/tracks/49oBFP6ZHPtd6t33LFTD3E,0.736
