track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
when the party's over,when the party's over,Billie Eilish,199931,False,False,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,14JzyD6FlBD5z0wV5P07YI,False,when the party's over,93,,True,1,track,spotify:track:14JzyD6FlBD5z0wV5P07YI,0.979,https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI,0.498,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,0.205
Money,Money,Cardi B,183527,False,True,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,False,Money,89,https://p.scdn.co/mp3-preview/98ae39c7808d3c596f59e02311236f04f5201940?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:2GGMabyHXnJmjY6CXhhB2e,0.00534,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,0.219
Better Now,beerbongs & bentleys,Post Malone,231266,False,True,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,False,Better Now,93,,True,9,track,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.354,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,0.374
Happier,Happier,"Marshmello, Bastille",214289,False,False,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,False,Happier,96,,True,1,track,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,0.671
Startender (feat. Offset and Tyga),Hoodie SZN,"A Boogie Wit da Hoodie, Tyga, Offset",192779,False,True,https://api.spotify.com/v1/tracks/0jAfdqv18goRTUxm3ilRjb,0jAfdqv18goRTUxm3ilRjb,False,Startender (feat. Offset and Tyga),80,https://p.scdn.co/mp3-preview/26328dae6170f2d51ef6b52abc97b97cec84c271?cid=2d7e45f1d409409e91fbbe0444ec166d,True,5,track,spotify:track:0jAfdqv18goRTUxm3ilRjb,0.0235,https://api.spotify.com/v1/audio-analysis/0jAfdqv18goRTUxm3ilRjb,0.736,0.622,0.0,6,0.151,-4.653,0,0.133,191.971,4,https://api.spotify.com/v1/tracks/0jAfdqv18goRTUxm3ilRjb,0.506
High Hopes,Pray For The Wicked,Panic! At The Disco,190946,False,False,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,1rqqCSm0Qe4I9rUvWncaom,False,High Hopes,95,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=2d7e45f1d409409e91fbbe0444ec166d,True,4,track,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,0.681
Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,169999,False,True,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,5wujBwqG7INdStqGd4tRMX,False,Armed And Dangerous,88,,True,5,track,spotify:track:5wujBwqG7INdStqGd4tRMX,0.186,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX,0.736,0.67,0.0,10,0.114,-6.702,1,0.311,130.032,4,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,0.845
Swervin (feat. 6ix9ine),Hoodie SZN,"A Boogie Wit da Hoodie, 6ix9ine",189486,False,True,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,1wJRveJZLSb1rjhnUHQiv6,False,Swervin (feat. 6ix9ine),86,https://p.scdn.co/mp3-preview/c7126e3b8eee044803bf1d973b6cb2ea1ec970c7?cid=2d7e45f1d409409e91fbbe0444ec166d,True,4,track,spotify:track:1wJRveJZLSb1rjhnUHQiv6,0.0485,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,0.892,0.53,0.0,6,0.107,-7.644,0,0.239,92.997,4,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,0.403
Splashin,Splashin,Rich The Kid,177806,False,True,https://api.spotify.com/v1/tracks/79OEIr4J4FHV0O3KrhaXRb,79OEIr4J4FHV0O3KrhaXRb,False,Splashin,86,,True,1,track,spotify:track:79OEIr4J4FHV0O3KrhaXRb,0.00195,https://api.spotify.com/v1/audio-analysis/79OEIr4J4FHV0O3KrhaXRb,0.942,0.383,0.0,10,0.0922,-8.099,1,0.565,100.021,4,https://api.spotify.com/v1/tracks/79OEIr4J4FHV0O3KrhaXRb,0.38
Hope,Sick Boy,"The Chainsmokers, Winona Oak",180120,False,False,https://api.spotify.com/v1/tracks/4BiiOzZCrXEzHRLYcYFiD5,4BiiOzZCrXEzHRLYcYFiD5,False,Hope,89,https://p.scdn.co/mp3-preview/746135186e339c276d9f00f310286ce210782347?cid=2d7e45f1d409409e91fbbe0444ec166d,True,3,track,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,0.488,https://api.spotify.com/v1/audio-analysis/4BiiOzZCrXEzHRLYcYFiD5,0.773,0.699,3.6e-06,1,0.0814,-5.982,0,0.0958,104.941,4,https://api.spotify.com/v1/tracks/4BiiOzZCrXEzHRLYcYFiD5,0.513
